O*NET-SOC CODE	TITLE	TASKS
33-2022.00	Forest Fire Inspectors and Prevention Specialists	Locates forest fires on area map, using azimuth sighter and known landmarks.
33-2022.00	Forest Fire Inspectors and Prevention Specialists	Gives directions to crew on fireline during forest fire.
33-2022.00	Forest Fire Inspectors and Prevention Specialists	Extinguishes smaller fires with portable extinguisher, shovel, and ax.
33-3011.00	Bailiffs	Maintains order in courtroom during trial and guards jury from outside contact.
33-3011.00	Bailiffs	Enforces courtroom rules of behavior and warns persons not to smoke or disturb court procedure.
33-3011.00	Bailiffs	Stops people from entering courtroom while judge charges jury.
33-3011.00	Bailiffs	Checks courtroom for security and cleanliness and assures availability of sundry supplies for use of judge.
33-3011.00	Bailiffs	Provides jury escort to restaurant and other areas outside of courtroom to prevent jury contact with public.
33-3011.00	Bailiffs	Collects and retains unauthorized firearms from persons entering courtroom
33-3011.00	Bailiffs	Announces entrance of judge.
33-3011.00	Bailiffs	Guards lodging of sequestered jury.
33-3011.00	Bailiffs	Reports need for police or medical assistance to sheriff's office.
33-3012.00	Correctional Officers and Jailers	Monitors conduct of prisoners, according to established policies, regulations, and procedures, to prevent escape or violence.
33-3012.00	Correctional Officers and Jailers	Takes prisoner into custody and escorts to locations within and outside of facility, such as visiting room, courtroom, or airport.
33-3012.00	Correctional Officers and Jailers	Uses weapons, handcuffs, and physical force to maintain discipline and order among prisoners.
33-3012.00	Correctional Officers and Jailers	Records information, such as prisoner identification, charges, and incidences of inmate disturbance.
33-3012.00	Correctional Officers and Jailers	Guards facility entrance to screen visitors.
33-3012.00	Correctional Officers and Jailers	Searches prisoners, cells, and vehicles for weapons, valuables, or drugs.
33-3012.00	Correctional Officers and Jailers	Inspects locks, window bars, grills, doors, and gates at correctional facility, to prevent escape.
33-3012.00	Correctional Officers and Jailers	Serves meals and distributes commissary items to prisoners.
33-3021.01	Police Detectives	Examines scene of crime to obtain clues and gather evidence.
33-3021.01	Police Detectives	Records progress of investigation, maintains informational files on suspects, and submits reports to commanding officer or magistrate to authorize warrants.
33-3021.01	Police Detectives	Reviews governmental agency files to obtain identifying data pertaining to suspects or establishments suspected of violating laws.
33-3021.01	Police Detectives	Testifies before court and grand jury and appears in court as witness.
33-3021.01	Police Detectives	Schedules polygraph test for consenting parties, and records results of test interpretations for presentation with findings.
33-3021.01	Police Detectives	Prepares assigned cases for court and charges or responses to charges, according to formalized procedures.
33-3021.01	Police Detectives	Observes and photographs narcotic purchase transaction to compile evidence and protect undercover investigators.
33-3021.01	Police Detectives	Arrests or assists in arrest of criminals or suspects.
33-3021.01	Police Detectives	Interviews complainant, witnesses, and accused persons to obtain facts or statements; and records interviews, using recording device.
33-3021.01	Police Detectives	Investigates establishments or persons to establish facts supporting complainant or accused, using supportive information from witnesses or tangible evidence.
33-3021.01	Police Detectives	Maintains surveillance of establishments to attain identifying information on suspects.
33-3021.02	Police Identification and Records Officers	Dusts selected areas of crime scene to locate and reveal latent fingerprints.
33-3021.02	Police Identification and Records Officers	Lifts prints from crime site, using special tape.
33-3021.02	Police Identification and Records Officers	Photographs, records physical description, and fingerprints homicide victims and suspects for identification.
33-3021.02	Police Identification and Records Officers	Submits evidence to supervisor.
33-3021.02	Police Identification and Records Officers	Develops film and prints, using photographic developing equipment.
33-3021.02	Police Identification and Records Officers	Classifies and files fingerprints.
33-3021.02	Police Identification and Records Officers	Photographs crime or accident scene to obtain record of evidence.
33-3021.03	Criminal Investigators and Special Agents	Obtains and verifies evidence or establishes facts by interviewing, observing, and interrogating suspects and witnesses and analyzing records.
33-3021.03	Criminal Investigators and Special Agents	Analyzes charge, complaint, or allegation of law violation to identify issues involved and types of evidence needed.
33-3021.03	Criminal Investigators and Special Agents	Assists in determining scope, timing, and direction of investigation.
33-3021.03	Criminal Investigators and Special Agents	Examines records to detect links in chain of evidence or information.
33-3021.03	Criminal Investigators and Special Agents	Obtains and uses search and arrest warrants.
33-3021.03	Criminal Investigators and Special Agents	Develops and uses informants to get leads to information.
33-3021.03	Criminal Investigators and Special Agents	Testifies before grand juries.
33-3021.03	Criminal Investigators and Special Agents	Serves subpoenas or other official papers.
33-3021.03	Criminal Investigators and Special Agents	Photographs, fingerprints, and measures height and weight of arrested suspects, noting physical characteristics, and posts data on record for filing.
33-3021.03	Criminal Investigators and Special Agents	Reports critical information to and coordinates activities with other offices or agencies when applicable.
33-3021.03	Criminal Investigators and Special Agents	Presents findings in reports.
33-3021.03	Criminal Investigators and Special Agents	Maintains surveillance and performs undercover assignments.
33-3021.03	Criminal Investigators and Special Agents	Compares crime scene fingerprints with those of suspect or fingerprint files to identify perpetrator, using computer.
33-3021.03	Criminal Investigators and Special Agents	Searches for evidence, dusts surfaces to reveal latent fingerprints, and collects and records evidence and documents, using cameras and investigative equipment.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Serves warrants and makes arrests to return persons sought in connection with crimes or for non-payment of child support.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Computes amount of child support payments.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Testifies in court to present evidence regarding cases.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Examines medical and dental x rays, fingerprints, and other information to identify bodies held in morgue.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Examines case file to determine that divorce decree and court-ordered judgment for payment are in order.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Completes reports to document information acquired during criminal and child support cases, and actions taken.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Monitors child support payments awarded by court to ensure compliance and enforcement of child support laws.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Determines types of court jurisdiction, according to facts and circumstances surrounding case, and files court action.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Confers with prosecuting attorney to prepare court case and with court clerk to obtain arrest warrant and schedule court date.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Interviews client to obtain information, such as relocation of absent parent, amount of child support awarded, and names of witnesses.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Interviews and discusses case with parent charged with nonpayment of support to resolve issues in lieu of filing court proceedings.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Reviews files and criminal records to develop possible leads, such as previous addresses and aliases.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Prepares file indicating data, such as wage records of accused, witnesses, and blood test results.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Obtains extradition papers to bring about return of fugitive.
33-3021.04	Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators	Contacts employers, neighbors, relatives, and law enforcement agencies to locate person sought and  verify information gathered about case.
33-3021.05	Immigration and Customs Inspectors	Inspects cargo, baggage, personal articles, and common carriers entering or leaving U.S. for compliance with revenue laws and U.S. Customs Service regulations.
33-3021.05	Immigration and Customs Inspectors	Testifies in administrative and judicial proceedings.
33-3021.05	Immigration and Customs Inspectors	Collects samples of merchandise for examination, appraising, or testing and requests laboratory analyses.
33-3021.05	Immigration and Customs Inspectors	Institutes civil and criminal prosecutions and assists other governmental agencies with regulation violation issues.
33-3021.05	Immigration and Customs Inspectors	Issues or denies permits.
33-3021.05	Immigration and Customs Inspectors	Interprets and explains laws and regulations to others.
33-3021.05	Immigration and Customs Inspectors	Determines duty and taxes to be paid, investigates applications for duty refunds, or petitions for remission or mitigation of penalties.
33-3021.05	Immigration and Customs Inspectors	Examines, classifies, weighs, measures, and appraises merchandise to enforce regulations of U.S. Customs Service and prevent illegal importing and exporting.
33-3021.05	Immigration and Customs Inspectors	Determines investigative and seizure techniques to be used, and seizes contraband, undeclared merchandise, vehicles, and air or sea craft carrying smuggled merchandise.
33-3021.05	Immigration and Customs Inspectors	Arrests, detains, paroles, or arranges for deportation of persons in violation of customs or immigration laws.
33-3021.05	Immigration and Customs Inspectors	Reviews private and public records and documents to establish, assemble, and verify facts and secure legal evidence.
33-3021.05	Immigration and Customs Inspectors	Keeps records and writes reports of activities, findings, transactions, violations, discrepancies, and decisions.
33-3021.05	Immigration and Customs Inspectors	Examines visas and passports and interviews persons to determine eligibility for admission, residence, and travel in U.S.
33-3031.00	Fish and Game Wardens	Patrols assigned area by car, boat, airplane, horse, or on foot to observe persons engaged in taking fish and game.
33-3031.00	Fish and Game Wardens	Resurveys area and totals bag counts of hunters to determine effectiveness of control measures.
33-3031.00	Fish and Game Wardens	Assists in promoting hunter safety training.
33-3031.00	Fish and Game Wardens	Recommends revisions or changes in hunting and trapping regulations or seasons, animal relocation and release to obtain balance of wildlife and habitat.
33-3031.00	Fish and Game Wardens	Seizes equipment used in fish and game law violations and arranges for disposition of fish and game illegally taken or possessed.
33-3031.00	Fish and Game Wardens	Ensures method and equipment used are lawful and apprehends violators.
33-3031.00	Fish and Game Wardens	Collects and reports information on population and condition of fish and wildlife in their habitat, availability of game food and cover, and suspected pollution.
33-3031.00	Fish and Game Wardens	Searches area of reported property damage for animal tracks, leavings, and other evidence to identify specie of animal responsible.
33-3031.00	Fish and Game Wardens	Serves warrants, makes arrests, and prepares and presents evidence in court actions.
33-3031.00	Fish and Game Wardens	Investigates hunting accidents and reports of fish and game law violations, issues warnings or citations, and files reports.
33-3031.00	Fish and Game Wardens	Traps beavers, dynamites beaver dams, and tranquilizes animals to implement approved control measures.
33-3031.00	Fish and Game Wardens	Photographs extent of damage, documents other evidence, estimates financial loss, and recommends compensation.
33-3031.00	Fish and Game Wardens	Addresses schools and civic groups to disseminate wildlife information and promote public relations.
33-3041.00	Parking Enforcement Workers	Chalks tires of vehicles, records time, and returns at specific intervals.
33-3041.00	Parking Enforcement Workers	Collects coins deposited in meters.
33-3041.00	Parking Enforcement Workers	Writes violation tickets for illegally parked vehicles.
33-3041.00	Parking Enforcement Workers	Prepares required forms and records.
33-3041.00	Parking Enforcement Workers	Reports missing traffic signals or signs to superior at end of shift.
33-3041.00	Parking Enforcement Workers	Winds parking meter clocks.
33-3051.01	Police Patrol Officers	Patrols specific area on foot, horseback, or motorized conveyance.
33-3051.01	Police Patrol Officers	Draws diagram of crime or accident scene.
33-3051.01	Police Patrol Officers	Photographs crime or accident scene.
33-3051.01	Police Patrol Officers	Interviews principal and eye witnesses.
33-3051.01	Police Patrol Officers	Renders aid to accident victims and other persons requiring first aid for physical injuries.
33-3051.01	Police Patrol Officers	Records facts and prepares reports to document activities.
33-3051.01	Police Patrol Officers	Testifies in court to present evidence or act as witness in traffic and criminal cases.
33-3051.01	Police Patrol Officers	Expedites processing of prisoners, and prepares and maintains records of prisoner bookings and prisoner status during booking and pre-trial process.
33-3051.01	Police Patrol Officers	Relays complaint and emergency-request information to appropriate agency dispatcher.
33-3051.01	Police Patrol Officers	Provides road information to assist motorists.
33-3051.01	Police Patrol Officers	Investigates traffic accidents and other accidents to determine causes and to determine if crime has been committed.
33-3051.01	Police Patrol Officers	Evaluates complaint and emergency-request information to determine response requirements.
33-3051.01	Police Patrol Officers	Reviews facts to determine if criminal act or statute violation is involved.
33-3051.01	Police Patrol Officers	Directs traffic flow and reroutes traffic in case of emergencies.
33-3051.01	Police Patrol Officers	Monitors traffic to ensure motorists observe traffic regulations and exhibit safe driving procedures.
33-3051.01	Police Patrol Officers	Arrests perpetrator of criminal act or submits citation or warning to violator of motor vehicle ordinance.
33-3051.01	Police Patrol Officers	Maintains order, responds to emergencies, protects people and property, and enforces motor vehicle and criminal law.
33-3051.02	Highway Patrol Pilots	Pilots airplane to maintain order, respond to emergencies, to enforce traffic and criminal laws, and apprehend criminals.
33-3051.02	Highway Patrol Pilots	Investigates traffic accidents and other accidents to determine causes and to determine if crime were committed.
33-3051.02	Highway Patrol Pilots	Arrests perpetrator of criminal act or submits citation or warning to violator of motor vehicle ordinance.
33-3051.02	Highway Patrol Pilots	Informs ground personnel where to re-route traffic in case of emergencies.
33-3051.02	Highway Patrol Pilots	Informs ground personnel of traffic congestion or unsafe driving conditions to ensure traffic flow and reduce incidence of accidents.
33-3051.02	Highway Patrol Pilots	Reviews facts to determine if criminal act or statute violation involved.
33-3051.02	Highway Patrol Pilots	Expedites processing of prisoners, prepares and maintains records of prisoner bookings, and maintains record of prisoner status during booking and pre-trial process.
33-3051.02	Highway Patrol Pilots	Prepares reports to document activities.
33-3051.02	Highway Patrol Pilots	Relays complaint and emergency request information to appropriate agency dispatcher.
33-3051.02	Highway Patrol Pilots	Evaluates complaint and emergency request information to determine response requirements.
33-3051.02	Highway Patrol Pilots	Renders aid to accident victims and other persons requiring first aid for physical injuries.
33-3051.02	Highway Patrol Pilots	Testifies in court to present evidence or act as witness in traffic and criminal cases.
33-3051.02	Highway Patrol Pilots	Records facts, photographs and diagrams crime or accident scene, and interviews witnesses to gather information for possible use in legal action or safety programs.
33-3051.03	Sheriffs and Deputy Sheriffs	Serves subpoenas and summonses.
33-3051.03	Sheriffs and Deputy Sheriffs	Executes arrest warrants, locating and taking persons into custody and issues citations.
33-3051.03	Sheriffs and Deputy Sheriffs	Patrols and guards courthouse, grand jury room, or assigned areas to provide security, enforce laws, maintain order, and arrest violators.
33-3051.03	Sheriffs and Deputy Sheriffs	Confiscates real or personal property by court order, and posts notices in public places.
33-3051.03	Sheriffs and Deputy Sheriffs	Takes control of accident scene to maintain traffic flow, assist accident victims, and investigate causes.
33-3051.03	Sheriffs and Deputy Sheriffs	Investigates illegal or suspicious activities of persons.
33-3051.03	Sheriffs and Deputy Sheriffs	Transports or escorts prisoners or defendants between courtroom, prison or jail, District Attorney's offices, or medical facilities.
33-3051.03	Sheriffs and Deputy Sheriffs	Questions individuals entering secured areas to determine purpose of business and directs or reroutes individuals to destinations.
33-3051.03	Sheriffs and Deputy Sheriffs	Maintains records and submits reports of dispositions and logs daily activities.
33-3051.03	Sheriffs and Deputy Sheriffs	Arranges delivery of prisoner's arrest records from criminal investigation unit, at District Attorney's request.
33-3051.03	Sheriffs and Deputy Sheriffs	Notifies patrol units to take violators into custody, or provide needed assistance or medical aid.
33-3052.00	Transit and Railroad Police	Directs security activities at derailments, fires, floods, and strikes involving railroad property.
33-3052.00	Transit and Railroad Police	Examines credentials of unauthorized persons attempting to enter secured areas.
33-3052.00	Transit and Railroad Police	Investigates or directs investigations of freight theft, suspicious damage or loss of passenger's valuables, and other crimes on railroad property.
33-3052.00	Transit and Railroad Police	Guards, patrols, and polices railroad yards, cars, stations, and other facilities to protect company property and shipments and to maintain order.
33-3052.00	Transit and Railroad Police	Apprehends or coordinates with local enforcement personnel to apprehend or remove trespassers or thieves from rail property.
33-3052.00	Transit and Railroad Police	Seals empty boxcars by twisting nails in door hasps, using nail twister.
33-3052.00	Transit and Railroad Police	Directs and coordinates the daily activities and training of security staff.
33-3052.00	Transit and Railroad Police	Records and verifies seal numbers from boxcars containing high pilferage items, such as cigarettes and liquor, to detect tampering.
33-3052.00	Transit and Railroad Police	Interviews neighbors, associates, and former employers of job applicants to verify personal references and obtain work history data.
33-3052.00	Transit and Railroad Police	Prepares reports documenting the results and activities concerned with investigations.
33-3052.00	Transit and Railroad Police	Plans and implements special safety and preventive programs, such as fire and accident prevention.
33-9011.00	Animal Control Workers	Captures or removes stray, uncontrolled, or abused animals from undesirable conditions and transports to shelter.
33-9011.00	Animal Control Workers	Trains police officers in dog handling and training techniques for tracking, crowd control, and narcotics and bomb detection.
33-9011.00	Animal Control Workers	Examines animals for injuries or malnutrition and arranges for medical treatment.
33-9011.00	Animal Control Workers	Investigates animal bites and alleged violations, interviews witnesses, and reports violations to police or requests arrest of violators.
33-9011.00	Animal Control Workers	Removes animals from vehicle and places animal in shelter cage or other enclosure.
33-9011.00	Animal Control Workers	Examines animal licenses and inspects establishments housing animals for compliance with laws, and issues warnings or summonses to violators.
33-9011.00	Animal Control Workers	Writes reports of activities, and maintains files of impoundment and disposition of animals.
33-9011.00	Animal Control Workers	Supplies animals with food, water, and personal care.
33-9011.00	Animal Control Workers	Euthanatizes rabid, unclaimed, or severely injured animals.
33-9011.00	Animal Control Workers	Conducts tours of facility, demonstrates dog handling techniques, and explains use of dogs in police work, using trained dog.
33-9011.00	Animal Control Workers	Instructs handlers in dog health care and handler's responsibilities.
33-9021.00	Private Detectives and Investigators	Confers with establishment officials, security department, police, or postal officials to identify problems, provide information, and receive instructions.
33-9021.00	Private Detectives and Investigators	Alerts staff and superiors of presence of suspect in establishment.
33-9021.00	Private Detectives and Investigators	Writes reports and case summaries to document investigations or inform supervisors.
33-9021.00	Private Detectives and Investigators	Testifies at hearings and court trials to present evidence.
33-9021.00	Private Detectives and Investigators	Locates persons using phone or mail directories to collect money owed or to serve legal papers.
33-9021.00	Private Detectives and Investigators	Evaluates performance and honesty of employees by posing as customer or employee and comparing employee to standards.
33-9021.00	Private Detectives and Investigators	Assists victims, police, fire department, and others during emergencies.
33-9021.00	Private Detectives and Investigators	Enforces conformance to establishment rules and protects persons or property.
33-9021.00	Private Detectives and Investigators	Counts cash and reviews transactions, sales checks, and register tapes to verify amount of cash and shortages.
33-9021.00	Private Detectives and Investigators	Obtains and analyzes information on suspects, crimes, and disturbances to solve cases, identify criminal activity, and maintain public peace and order.
33-9021.00	Private Detectives and Investigators	Warns and ejects troublemakers from premises and apprehends and releases suspects to authorities or security personnel.
33-9021.00	Private Detectives and Investigators	Examines crime scene for clues or fingerprints and submits evidence to laboratory for analysis.
33-9021.00	Private Detectives and Investigators	Questions persons to obtain evidence for cases of divorce, child custody, or missing persons, or individuals character or financial status.
33-9021.00	Private Detectives and Investigators	Observes employees or customers and patrols premises to detect violations and obtain evidence, using binoculars, cameras, and television.
33-9032.00	Security Guards	Patrols industrial and commercial premises to prevent and detect signs of intrusion and ensure security of doors, windows, and gates.
33-9032.00	Security Guards	Operates detecting devices to screen individuals and prevent passage of prohibited articles into restricted areas.
33-9032.00	Security Guards	Monitors and adjusts controls that regulate building systems, such as air conditioning, furnace, or boiler.
33-9032.00	Security Guards	Escorts or drives motor vehicle to transport individuals to specified locations and to provide personal protection.
33-9032.00	Security Guards	Writes reports of daily activities and irregularities, such as equipment or property damage, theft, presence of unauthorized persons, or unusual occurrences.
33-9032.00	Security Guards	Answers telephone calls to take messages, answer questions, and provide information during non- business hours or when switchboard is closed.
33-9032.00	Security Guards	Drives and guards armored vehicle to transport money and valuables to prevent theft and ensure safe delivery.
33-9032.00	Security Guards	Inspects and adjusts security systems, equipment, and machinery to ensure operational use and to detect evidence of tampering.
33-9032.00	Security Guards	Monitors and authorizes entrance and departure of employees, visitors, and other persons to guard against theft and maintain security of premises.
33-9032.00	Security Guards	Answers alarms and investigates disturbances.
33-9032.00	Security Guards	Circulates among visitors, patrons, and employees to preserve order and protect property.
33-9032.00	Security Guards	Calls police or fire departments in cases of emergency, such as fire or presence of unauthorized persons.
33-9032.00	Security Guards	Warns persons of rule infractions or violations, and apprehends or evicts violators from premises, using force when necessary.
33-9091.00	Crossing Guards	Directs actions of pedestrians and traffic at intersections.
33-9091.00	Crossing Guards	Escorts pedestrians across street.
33-9091.00	Crossing Guards	Records license numbers of vehicles disregarding traffic signals and reports infractions to police.
33-9091.00	Crossing Guards	Discusses traffic routing plans, and type and location of control points with superior.
33-9091.00	Crossing Guards	Informs drivers of detour routes through construction sites.
33-9091.00	Crossing Guards	Waves flags, signs, or lanterns in emergencies.
33-9091.00	Crossing Guards	Distributes traffic control and caution signs and markers at designated points.
33-9091.00	Crossing Guards	Activates warning signal lights, lowers crossing gates until train passes, and raises gate when crossing is clear.
33-9091.00	Crossing Guards	Directs movement of traffic through site, using signs, flags, and hand signals.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Patrols or monitors recreational areas, such as trails, slopes, and swimming areas, on foot, in vehicle, or from tower.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Observes activities in assigned area with binoculars to detect hazards, disturbances, or safety infractions.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Examines injured persons and administers first aid or cardiopulmonary resuscitation, utilizing training and medical supplies and equipment.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Inspects recreational equipment, such as rope tows, T-bar, J-bar, and chair lifts, for safety hazards and damage or wear.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Instructs participants in skiing, swimming, or other recreational activity.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Participates in recreational demonstrations to entertain resort guests.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Maintains information on emergency medical treatment and weather and beach conditions, using report forms.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Inspects facilities for cleanliness and maintains order in recreational areas.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Contacts emergency medical services in case of serious injury.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Rescues distressed persons, using rescue techniques and equipment.
33-9092.00	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	Cautions recreational participant regarding inclement weather, unsafe areas, or illegal conduct.
35-1011.00	Chefs and Head Cooks	Supervises and coordinates activities of cooks and workers engaged in food preparation.
35-1011.00	Chefs and Head Cooks	Observes workers and work procedures to ensure compliance with established standards.
35-1011.00	Chefs and Head Cooks	Evaluates and solves procedural problems to ensure safe and efficient operations.
35-1011.00	Chefs and Head Cooks	Records production and operational data on specified forms.
35-1011.00	Chefs and Head Cooks	Inspects supplies, equipment, and work areas to ensure conformance to established standards.
35-1011.00	Chefs and Head Cooks	Collaborates with specified personnel and plans and develops recipes and menus.
35-1011.00	Chefs and Head Cooks	Determines production schedules and worker-time requirements to ensure timely delivery of services.
35-1011.00	Chefs and Head Cooks	Estimates amounts and costs and requisitions supplies and equipment to ensure efficient operation.
35-1011.00	Chefs and Head Cooks	Helps cooks and workers cook and prepare food on demand.
35-1011.00	Chefs and Head Cooks	Trains and otherwise instructs cooks and workers in proper food preparation procedures.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Supervises and coordinates activities of workers engaged in preparing and serving food and other related duties.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Observes and evaluates workers and work procedures to ensure quality standards and service.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Assigns duties, responsibilities, and work stations to employees, following work requirements.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Collaborates with specified personnel to plan menus, serving arrangements, and other related details.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Recommends measures to improve work procedures and worker performance to increase quality of services and job safety.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Purchases or requisitions supplies and equipment to ensure quality and timely delivery of services.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Initiates personnel actions, such as hires and discharges, to ensure proper staffing.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Analyzes operational problems, such as theft and wastage, and establishes controls.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Schedules parties and reservations, and greets and escorts guests to seating arrangements.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Receives, issues, and takes inventory of supplies and equipment, and reports shortages to designated personnel.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Resolves customer complaints regarding food service.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Records production and operational data on specified forms.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Trains workers in proper food preparation and service procedures.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Inspects supplies, equipment, and work areas, to ensure efficient service and conformance to standards.
35-1012.00	First-Line Supervisors/Managers of Food Preparation and Serving Workers	Specifies food portions and courses, production and time sequences, and work station and equipment arrangements.
35-2011.00	Cooks, Fast Food	Prepares specialty foods, such as pizzas, fish and chips, sandwiches, and tacos, following specific methods, usually requiring short preparation time.
35-2011.00	Cooks, Fast Food	Serves orders to customers at window or counter.
35-2011.00	Cooks, Fast Food	Prepares and serves beverage, such as coffee and fountain drinks.
35-2011.00	Cooks, Fast Food	Reads food order slip or receives verbal instructions as to food required by patron, and prepares and cooks food according to instructions.
35-2011.00	Cooks, Fast Food	Slices meats, cheeses, and vegetables, using knives and food slicing machines.
35-2011.00	Cooks, Fast Food	Prepares dough, following recipe.
35-2011.00	Cooks, Fast Food	Cleans work area and food preparation equipment.
35-2011.00	Cooks, Fast Food	Measures required ingredients needed for specific food item being prepared.
35-2012.00	Cooks, Institution and Cafeteria	Cooks foodstuffs according to menu, special dietary or nutritional restrictions, and number of persons to be served.
35-2012.00	Cooks, Institution and Cafeteria	Directs activities of one or more workers who assist in preparing and serving meals.
35-2012.00	Cooks, Institution and Cafeteria	Washes pots, pans, dishes, utensils, and other cooking equipment.
35-2012.00	Cooks, Institution and Cafeteria	Compiles and maintains food cost records and accounts.
35-2012.00	Cooks, Institution and Cafeteria	Apportions and serves food to residents, employees, or patrons.
35-2012.00	Cooks, Institution and Cafeteria	Cleans and inspects galley equipment, kitchen appliances, and work areas for cleanliness and functional operation.
35-2012.00	Cooks, Institution and Cafeteria	Requisitions food supplies, kitchen equipment and appliances, and other supplies and receives deliveries.
35-2012.00	Cooks, Institution and Cafeteria	Plans menus, taking advantage of foods in season and local availability.
35-2012.00	Cooks, Institution and Cafeteria	Bakes breads, rolls, and other pastries.
35-2012.00	Cooks, Institution and Cafeteria	Prepares and cooks vegetables, salads, dressings, and desserts.
35-2012.00	Cooks, Institution and Cafeteria	Cleans, cuts, and cooks meat, fish, and poultry.
35-2014.00	Cooks, Restaurant	Weighs, measures, and mixes ingredients according to recipe or personal judgment, using various kitchen utensils and equipment.
35-2014.00	Cooks, Restaurant	Bakes, roasts, broils, and steams meats, fish, vegetables, and other foods.
35-2014.00	Cooks, Restaurant	Observes and tests food to determine that it is cooked, by tasting, smelling, or piercing, and turns or stirs food if necessary.
35-2014.00	Cooks, Restaurant	Seasons and cooks food according to recipes or personal judgment and experience.
35-2014.00	Cooks, Restaurant	Washes, peels, cuts, and seeds fruits and vegetables to prepare fruits and vegetables for use.
35-2014.00	Cooks, Restaurant	Plans items on menu.
35-2014.00	Cooks, Restaurant	Butchers and dresses animals, fowl or shellfish, or cuts and bones meat prior to cooking.
35-2014.00	Cooks, Restaurant	Estimates food consumption and requisitions or purchases supplies, or procures food from storage.
35-2014.00	Cooks, Restaurant	Carves and trims meats, such as beef, veal, ham, pork, and lamb for hot or cold service, or for sandwiches.
35-2014.00	Cooks, Restaurant	Portions, arranges, and garnishes food, and serves food to waiter or patron.
35-2014.00	Cooks, Restaurant	Inspects food preparation and serving areas to ensure observance of safe, sanitary food-handling practices.
35-2014.00	Cooks, Restaurant	Bakes bread, rolls, cakes, and pastry.
35-2014.00	Cooks, Restaurant	Regulates temperature of ovens, broilers, grills, and roasters.
35-2015.00	Cooks, Short Order	Takes order from customer and cooks foods requiring short preparation time, according to customer requirements.
35-2015.00	Cooks, Short Order	Completes order from steamtable and serves customer at table or counter.
35-2015.00	Cooks, Short Order	Cleans food preparation equipment, work area, and counter or tables.
35-2015.00	Cooks, Short Order	Accepts payment and makes change, or writes charge slip.
35-2015.00	Cooks, Short Order	Carves meats, makes sandwiches, and brews coffee.
35-2021.00	Food Preparation Workers	Cleans and portions, and cuts or peels various foods to prepare for cooking or serving.
35-2021.00	Food Preparation Workers	Stores food in designated containers and storage areas to prevent spoilage.
35-2021.00	Food Preparation Workers	Cleans and maintains work areas, equipment, and utensils.
