O*NET-SOC Code,Task,Category,Original Task ID,Original Task,Write-in Total,Date,Source
"33-3021.02","Serve as technical advisor and coordinate with other law enforcement workers or legal personnel to exchange information on crime scene collection activities.","Revision",2126,"Serve as technical advisor and coordinate with other law enforcement workers to exchange information on crime scene collection activities.",5,"07/2004","Incumbent"
"33-3021.02","Submit evidence to supervisors, crime labs, or court officials for legal proceedings.","Revision",2128,"Submit evidence to supervisors.",8,"07/2004","Incumbent"
"33-3051.03","Supervise law enforcement staff such as jail staff, officers, and deputy sheriffs.","New",,,6,"06/2006","Incumbent"
"33-3052.00","Enforce traffic laws regarding the transit system and reprimand individuals who violate them.","New",,,6,"06/2006","Incumbent"
"33-3052.00","Monitor transit areas and conduct security checks to protect railroad properties, patrons, and employees.","New",,,10,"06/2006","Incumbent"
"33-3052.00","Provide training to the public and law enforcement personnel regarding railroad safety, security, and other related issues.","New",,,7,"06/2006","Incumbent"
"33-9032.00","Lock doors and gates of entrances and exits to secure buildings.","New",,,8,"06/2008","Incumbent"
"33-9032.00","Respond to medical emergencies by administering basic first aid or by obtaining assistance from paramedics.","New",,,7,"06/2008","Incumbent"
"33-9092.00","Maintain quality of pool water, such as by testing chemical levels.","New",,,8,"07/2005","Incumbent"
"35-1012.00","Assess nutritional needs of patients, plan special menus, supervise the assembly of regular and special diet trays, and oversee the delivery of food trolleys to hospital patients.","Revision",2163,"Supervise and check the assembly of regular and special diet trays and the delivery of food trolleys to hospital patients.",12,"07/2004","Incumbent"
"35-1012.00","Conduct meetings and collaborate with other personnel to plan menus, serving arrangements, and related details.","Revision",2162,"Collaborate with other personnel in order to plan menus, serving arrangements, and related details.",8,"07/2004","Incumbent"
"35-1012.00","Observe and evaluate workers and work procedures to ensure quality standards and service, and complete disciplinary write-ups.","Revision",2149,"Observe and evaluate workers and work procedures in order to ensure quality standards and service.",7,"07/2004","Incumbent"
"35-1012.00","Perform food preparation and serving duties, such as carving meat, preparing flambe dishes, or serving wine and liquor.","Revision",2159,"Perform serving duties such as carving meat, preparing flambe dishes, or serving wine and liquor.",8,"07/2004","Incumbent"
"35-1012.00","Perform personnel actins, such as hiring and firing staff, providing employee orientation and training, and conducting supervisory activities such as creating work schedules and organizing employee time sheets.","Revision",2152,"Perform personnel actions such as hiring and firing staff, consulting with other managers as necessary.",25,"07/2004","Incumbent"
"35-1012.00","Perform various financial activities, such as cash handling, deposit preparation, and payroll.","New",,,7,"07/2004","Incumbent"
"35-1012.00","Record production, operational, and personnel data on specified forms.","Revision",2160,"Record production and operational data on specified forms.",6,"07/2004","Incumbent"
"35-1012.00","Supervise and participate in kitchen and dining area cleaning activities.","New",,,8,"07/2004","Incumbent"
"35-2013.00","Cool, package, label, and freeze foods for later consumption and provide instructions for reheating.","New",,,6,"06/2006","Occupational Expert"
"35-2013.00","Keep records pertaining to menus, finances, and other business-related issues.","New",,,7,"06/2006","Occupational Expert"
"35-2014.00","Ensure food is stored and cooked at correct temperature by regulating temperature of ovens, broilers, grills, and roasters.","Revision",2174,"Regulate temperature of ovens, broilers, grills, and roasters.",7,"07/2004","Incumbent"
"35-2014.00","Ensure freshness of food and ingredients, such as by checking for quality and keeping track of old and new items and rotate them.","New",,,9,"07/2004","Incumbent"
"35-2014.00","Inspect and clean food preparation areas (e.g., equipment, work surfaces) and serving areas to ensure safe and sanitary food-handling practices.","Revision",2168,"Inspect food preparation and serving areas to ensure observance of safe, sanitary food-handling practices.",26,"07/2004","Incumbent"
"35-2015.00","Perform food preparation tasks, such as making sandwiches, carving meats, making soups or salads, baking breads or desserts, brewing coffee or tea, and daily preparation for line cooks.","Revision",2193,"Perform simple food preparation tasks such as making sandwiches, carving meats, and brewing coffee.",27,"07/2004","Incumbent"
"35-2015.00","Perform general cleaning activities in kitchen and dining areas.","New",,,19,"07/2004","Incumbent"
"35-2015.00","Restock kitchen supplies and rotate and stamp the time and date on food in coolers.","New",,,8,"07/2004","Incumbent"
"35-2021.00","Clean and sanitize work areas, equipment, utensils, dishes, and silverware.","Revision",2196,"Clean work areas, equipment, utensils, dishes, and silverware.",24,"07/2004","Incumbent"
"35-2021.00","Inform supervisors when equipment is not working properly and when food and supplies are getting low, and order needed items.","Revision",2202,"Inform supervisors when supplies are getting low or equipment is not working properly.",8,"07/2004","Incumbent"
"35-2021.00","Operate cash register, handle money, and give correct change.","New",,,12,"07/2004","Incumbent"
"35-2021.00","Prepare a variety of foods (e.g., meats, vegetables, desserts) according to customers' orders or supervisors' instructions, following approved procedures.","Revision",2198,"Prepare a variety of foods according to customers' orders or supervisors' instructions, following approved procedures.",20,"07/2004","Incumbent"
"35-2021.00","Take and record temperature of food and food storage areas, such as refrigerators and freezers.","New",,,13,"07/2004","Incumbent"
"35-2021.00","Vacuum dining area and sweep and mop kitchen floor.","New",,,8,"07/2004","Incumbent"
"35-2021.00","Wash, peel, and/or cut various foods (e.g., fruits and vegetables) to prepare for cooking or serving.","Revision",2205,"Wash, peel and/or cut various foods to prepare for cooking or serving.",9,"07/2004","Incumbent"
"35-3011.00","Stock bar with beer, wine, liquor, and related supplies, such as ice, glassware, napkins, and straws.","New",,,14,"07/2004","Incumbent"
"35-3021.00","Clean and organize eating, service, and kitchen areas.","Revision",2244,"Clean and organize eating and service areas.",23,"07/2004","Incumbent"
"35-3021.00","Communicate with customers regarding orders, comments, and complaints.","New",,,8,"07/2004","Incumbent"
"35-3021.00","Monitor and order supplies or food items and restock as necessary to maintain inventory.","New",,,17,"07/2004","Incumbent"
"35-3021.00","Perform personnel activities, such as supervising and training employees.","New",,,8,"07/2004","Incumbent"
"35-3021.00","Plan, prepare, and deliver meals to individuals with special dietary needs.","New",,,12,"07/2004","Incumbent"
"35-3021.00","Prepare daily food items for line cook or buffet and cook simple foods and beverages, such as sandwiches, salads, soups, pizza, and coffee using proper safety precautions and sanitary measures.","Revision",2248,"Prepare simple foods and beverages such as sandwiches, salads, and coffee.",27,"07/2004","Incumbent"
"35-3022.00","Cook food or prepare food items (e.g., sandwiches, salads, ice cream dishes), using standard formulas or following directions.","Revision",2263,"Prepare food such as sandwiches, salads, and ice cream dishes, using standard formulas or following directions.",8,"07/2004","Incumbent"
"35-3022.00","Perform cleaning duties (e.g., sweeping, mopping, and washing dishes) to keep equipment and facilities sanitary.","New",,,23,"07/2004","Incumbent"
"35-3031.00","Assist host/hostess by answering phones, taking reservations and to-go orders, and greeting, seating, and thanking guests.","New",,,32,"07/2004","Incumbent"
"35-3031.00","Perform cleaning duties, such as sweep and mop floor, vacuum carpet, tidy up server station, take out trash, and check and clean bathroom.","New",,,53,"07/2004","Incumbent"
"35-3031.00","Prepare for the next shift (e.g., roll silverware, set up food stations) and for large parties (e.g., set up dining areas).","New",,,14,"07/2004","Incumbent"
"35-3031.00","Provide guests with information about local areas, including giving directions.","New",,,6,"07/2004","Incumbent"
"35-3031.00","Remove dishes and glasses from tables or counters, take them to kitchen, and clean them when required.","Revision",2282,"Remove dishes and glasses from tables or counters, and take them to kitchen for cleaning.",9,"07/2004","Incumbent"
"35-9031.00","Answer telephone calls and respond to inquiries or transfer calls.","New",,,10,"07/2004","Incumbent"
"35-9031.00","Assign patrons to tables suitable for their needs and according to rotation to ensure servers receive an appropriate number of seatings.","Revision",2298,"Assign patrons to tables suitable for their needs.",8,"07/2004","Incumbent"
"35-9031.00","Assist with preparing and serving food and beverages.","New",,,8,"07/2004","Incumbent"
"35-9031.00","Inspect dining and serving areas to ensure cleanliness and proper setup, and help keep facilities neat and tidy (e.g., bus tables, clean server stations).","Revision",2299,"Inspect dining and serving areas to ensure cleanliness and proper setup.",18,"07/2004","Incumbent"
"35-9031.00","Inspect restrooms for cleanliness and availability of supplies and clean restrooms when necessary.","New",,,7,"07/2004","Incumbent"
"35-9031.00","Speak with patrons to ensure satisfaction with food and service, to respond to complaints, or to make conversation.","Revision",2300,"Speak with patrons to ensure satisfaction with food and service, and to respond to complaints.",6,"07/2004","Incumbent"
"35-9031.00","Take and prepare to-go orders.","New",,,6,"07/2004","Incumbent"
"37-1011.00","Check and maintain equipment to ensure that it is in working order.","Revision",9518,"Check equipment to ensure that it is in working order.",5,"06/2006","Incumbent"
"37-1011.00","Maintain grounds area, for example, by removing snow and mowing the lawn.","New",,,10,"06/2006","Incumbent"
"37-2021.00","Recommend treatment and prevention for pest problems to clients.","New",,,7,"12/2005","Incumbent"
"37-3011.00","Operate vehicles and powered equipment such as mowers, tractors, twin-axle vehicles, snow blowers, chain-saws, electric clippers, sod cutters, and pruning saws.","Revision",9588,"Operate powered equipment such as mowers, tractors, twin-axle vehicles, snow blowers, chain-saws, electric clippers, sod cutters, and pruning saws.",6,"06/2006","Incumbent"
"37-3012.00","Identify lawn and plant diseases to determine the appropriate course of treatment.","New",,,8,"12/2006","Incumbent"
"39-1012.00","Clean and maintain slot machines and surrounding areas, including stocking patron supplies and refreshments.","New",,,9,"12/2004","Incumbent"
"39-1012.00","Train, supervise, schedule, and evaluate slot department workers, including change runners and slot technicians.","Revision",4444,"Coordinate and oversee the work of slot department workers, including change runners and slot technicians.",10,"12/2004","Incumbent"
"39-2011.00","Evaluate animals for trainability and ability to perform.","New",,,8,"12/2005","Incumbent"
"39-2011.00","Train handlers and dogs to work as a guide for the visually impaired.","New",,,13,"12/2005","Incumbent"
"39-2021.00","Do facility laundry and clean, organize, maintain, and disinfect animal quarters (e.g., pens and stables) and equipment (e.g., saddles and bridles).","Revision",5073,"Clean, organize, and disinfect animal quarters such as pens, stables, cages, and yards, and animal equipment such as saddles and bridles.",15,"07/2005","Incumbent"
"39-3011.00","Supervise staff and monitor gambling tables (e.g., to ensure security of the game).","Revision",4463,"Monitor gambling tables and supervise staff.",7,"12/2004","Incumbent"
"39-3021.00","Clean the projection booth.","New",,,9,"12/2005","Incumbent"
"39-3021.00","Perform regular maintenance tasks such as rotating or replacing xenon bulbs, cleaning projectors and lenses, lubricating machinery, and keeping electrical contacts clean and tight.","Revision",8036,"Perform regular maintenance tasks such as rotating or replacing xenon bulbs, cleaning lenses, lubricating machinery, and keeping electrical contacts clean and tight.",10,"12/2005","Incumbent"
"39-3031.00","Assist patrons by giving directions to points in and outside of the facility and providing information about local attractions.","Revision",5101,"Direct patrons to restrooms, concession stands and telephones.",9,"07/2005","Incumbent"
"39-3031.00","Clean facilities.","New",,,14,"07/2005","Incumbent"
"39-3031.00","Lead tours and answer visitors' questions about the exhibits.","New",,,14,"07/2005","Incumbent"
"39-3031.00","Schedule and manage staff such as volunteer usher corps.","Revision",5110,"Schedule and manage volunteer usher corps.",5,"07/2005","Incumbent"
"39-3031.00","Sell and collect admission tickets, passes, and facility memberships from patrons at entertainment events.","Revision",5095,"Sell and collect admission tickets and passes from patrons at entertainment events.",7,"07/2005","Incumbent"
"39-3093.00","Clean facilities, including floors and locker rooms.","New",,,13,"12/2004","Incumbent"
"39-4011.00","Remove the deceased from place of death and transport to funeral home.","New",,,10,"12/2004","Incumbent"
"39-4021.00","Attend to the needs of the bereaved, such as by offering comfort, counseling, and after care programs.","New",,,17,"12/2004","Incumbent"
"39-4021.00","Deliver floral arrangements and other items to family members of the deceased.","New",,,11,"12/2004","Incumbent"
"39-4021.00","Embalm, dress, cosmeticize, and casket the deceased.","New",,,34,"12/2004","Incumbent"
"39-4021.00","Manage funeral home finances, including receiving payments, making bank deposits, and performing general bookkeeping duties.","New",,,14,"12/2004","Incumbent"
"39-4021.00","Meet with family members to plan the funeral.","New",,,17,"12/2004","Incumbent"
"39-4021.00","Obtain doctors' signatures on death certificate and complete other paperwork such as insurance claims forms.","New",,,23,"12/2004","Incumbent"
"39-4021.00","Perform general maintenance tasks for funeral homes such as maintaining equipment and caring for funeral grounds.","Revision",4524,"Perform general maintenance duties for funeral homes.",20,"12/2004","Incumbent"
"39-4021.00","Perform various administrative tasks such as typing documents and answering telephone calls.","New",,,35,"12/2004","Incumbent"
"39-4021.00","Prepare obituaries for newspapers.","New",,,10,"12/2004","Incumbent"
"39-4021.00","Supervise funeral processions and assist with cemetery parking.","New",,,14,"12/2004","Incumbent"
"39-4021.00","Transport the deceased (e.g., from the hospital to the funeral home).","Revision",4515,"Transfer the deceased to funeral homes.",10,"12/2004","Incumbent"
"39-5012.00","Order, display, and maintain supplies.","New",,,6,"03/2003","Incumbent"
"39-5093.00","Assist hair stylists with chemical services, such as neutralizing perms and applying hair color.","New",,,7,"06/2008","Incumbent"
"39-5093.00","Launder and fold the towels that are used for drying customers' hair.","New",,,11,"06/2008","Incumbent"
"39-5093.00","Refill and stock work stations with supplies, such as shampoos and conditioners.","New",,,7,"06/2008","Incumbent"
"39-5093.00","Rinse out hair color or permanent solutions from customers' hair.","New",,,10,"06/2008","Incumbent"
"39-5093.00","Sweep hair from the salon floor.","New",,,7,"06/2008","Incumbent"
"39-5094.00","Stay abreast (e.g., by continuing education) of latest industry trends, products, research, and treatments.","New",,,7,"12/2005","Incumbent"
"39-6012.00","Arrange childcare services for guests.","New",,,5,"12/2004","Incumbent"
"39-6012.00","Clean and tidy hotel lounge.","New",,,10,"12/2004","Incumbent"
"39-6012.00","Make reservations (e.g., for dinner, spa treatments, golf tee times) and travel arrangements (e.g., rental cars and airport shuttles) for patrons, and obtain tickets to special events.","Revision",4528,"Make dining and other reservations for patrons, and obtain tickets for events.",30,"12/2004","Incumbent"
"39-6012.00","Provide business services for guests, such as sending and receiving faxes and shipping packages.","New",,,10,"12/2004","Incumbent"
"39-6012.00","Provide directions to guests.","New",,,13,"12/2004","Incumbent"
"39-6012.00","Provide food and beverage services to guests.","New",,,8,"12/2004","Incumbent"
"39-6021.00","Research various topics, including site history, environmental conditions, and clients' skills and abilities to plan appropriate expeditions, instruction, and commentary.","Revision",4546,"Research environmental conditions and clients' skill and ability levels in order to plan expeditions, instruction, and commentary that are appropriate.",6,"12/2004","Incumbent"
"39-6021.00","Train other guides and volunteers.","New",,,5,"12/2004","Incumbent"
"39-6031.00","Notify pilot of passenger concerns or problems, or any unexpected changes.","New",,,6,"06/2006","Incumbent"
"11-2011.00","Manage sales team, including setting goals, providing incentives, and evaluating employee performance.","New",,,10,"12/2004","Incumbent"
"11-2031.00","Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.","Revision",3255,"Establish and maintain effective working relationships with local and municipal government officials and media representatives.",11,"12/2004","Incumbent"
"11-2031.00","Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.","Revision",3247,"Identify main client groups and audiences and determine the best way to communicate publicity information to them.",6,"12/2004","Incumbent"
"11-3031.01","Handle all aspects of employee insurance, benefits, and casualty programs including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation.","New",,,9,"06/2006","Incumbent"
"11-3031.01","Monitor financial activities and details such as cash flow and reserve levels to ensure that all legal and regulatory requirements are met.","Revision",8862,"Monitor financial activities and details such as reserve levels to ensure that all legal and regulatory requirements are met.",5,"06/2006","Incumbent"
"11-3071.02","Monitor inventory levels of products or materials in warehouses.","New",,,7,"06/2008","Occupational Expert"
"11-9011.02","Communicate written or orally with property owners about issues regarding production, finances, or the property in general.","New",,,8,"06/2006","Occupational Expert"
"11-9032.00","Coordinate and direct extracurricular activities and programs, such as after-school events and athletic contests.","New",,,8,"07/2005","Incumbent"
"11-9032.00","Meet with federal, state, and local agencies to keep updated on policies and discuss improvements for education programs.","New",,,6,"07/2005","Incumbent"
"11-9032.00","Mentor and support administrative staff members, such as superintendents and principals.","New",,,6,"07/2005","Incumbent"
"11-9032.00","Participate in special education-related activities, such as attending meetings and providing support to special educators throughout the district.","New",,,6,"07/2005","Incumbent"
"11-9032.00","Plan and lead professional development activities for teachers, administrators, and support staff.","New",,,9,"07/2005","Incumbent"
"11-9032.00","Plan, coordinate, and oversee school logistics programs, such as bus and food services.","New",,,14,"07/2005","Incumbent"
"11-9033.00","Advise students on issues such as course selection, progress toward graduation, and career decisions.","New",,,39,"07/2005","Incumbent"
"11-9033.00","Direct, coordinate, and evaluate the activities of personnel, including support staff, engaged in administering academic institutions, departments and/or alumni organizations.","Revision",5247,"Direct, coordinate, and evaluate the activities of personnel engaged in administering academic institutions, departments, and/or alumni organizations.",7,"07/2005","Incumbent"
"11-9033.00","Formulate strategic plans for the institution.","New",,,8,"07/2005","Incumbent"
"11-9033.00","Oversee facilities management for the university, including construction, repair, and maintenance projects.","New",,,11,"07/2005","Incumbent"
"11-9033.00","Promote the university by participating in community, state, and national events/meetings, and by developing partnerships with industry and secondary education institutions.","New",,,19,"07/2005","Incumbent"
"39-6031.00","Stay current on aviation and/or company rules, regulations, and procedures, for example by attending training.","New",,,8,"06/2006","Incumbent"
"39-6031.00","Take precautions to protect passengers and crew from harm, by monitoring passenger behaviors, identifying suspicious items, conducting security checks in the lavatories, and identifying indications of mechanical problems.","New",,,26,"06/2006","Incumbent"
"39-6032.00","Secure passengers for transportation by buckling seatbelts or fastening wheelchairs with tie-down straps.","New",,,10,"06/2007","Incumbent"
"39-9011.00","Communicate with children's' parents or guardians about daily activities, behaviors, and related issues.","New",,,10,"07/2004","Incumbent"
"39-9011.00","Create developmentally appropriate lesson plans and teach children simple reading and writing, painting, drawing, handicrafts, songs, and social skills.","Revision",2339,"Read to children and teach them simple painting, drawing, handicrafts, and songs.",14,"07/2004","Incumbent"
"39-9011.00","Observe and monitor children's play activities and maintain a safe play environment.","Revision",2336,"Observe and monitor children's play activities.",5,"07/2004","Incumbent"
"39-9011.00","Organize and participate in recreational activities and outings, such as games and field trips.","Revision",2340,"Organize and participate in recreational activities, such as games.",8,"07/2004","Incumbent"
"39-9011.00","Perform general administrative tasks, such as taking attendance, editing internal paperwork, and making phone calls.","New",,,5,"07/2004","Incumbent"
"39-9011.00","Perform general personnel functions, such as supervision, training, and scheduling.","New",,,11,"07/2004","Incumbent"
"39-9011.01","Shop for groceries, clothing, and other items needed for children's care.","New",,,8,"07/2004","Occupational Expert"
"39-9032.00","Conduct individual in-room visits with residents.","New",,,5,"07/2004","Incumbent"
"39-9032.00","Take residents on community outings.","New",,,5,"07/2004","Incumbent"
"39-9041.00","Develop and coordinate educational programs for residents.","New",,,5,"07/2005","Incumbent"
"39-9041.00","Oversee departmental budget.","New",,,5,"07/2005","Incumbent"
"39-9041.00","Supervise, train, and evaluate residence hall staff, including resident assistants, participants in work-study programs, and other student workers.","Revision",6987,"Supervise participants in work-study programs.",24,"07/2005","Incumbent"
"41-2011.00","Assist customers, such as providing information and resolving their complaints.","Revision",2407,"Resolve customer complaints.",20,"07/2004","Incumbent"
"41-2011.00","Assist with duties in other areas of the store, such as monitoring fitting rooms and bagging and carrying out customers' items.","New",,,7,"07/2004","Incumbent"
"41-2011.00","Maintain clean and orderly checkout areas and complete other general cleaning duties, such as mopping floors and emptying trash cans.","Revision",2404,"Maintain clean and orderly checkout areas.",15,"07/2004","Incumbent"
"41-2011.00","Supervise others (e.g., to other cashiers) and provide on-the-job training.","New",,,10,"07/2004","Incumbent"
"41-2012.00","Perform minor repairs on slot machines, such as clearing coin jams.","New",,,5,"07/2005","Incumbent"
"41-2022.00","Assist customers, such as responding to customer complaints and updating them about back ordered parts.","New",,,8,"07/2004","Incumbent"
"41-2022.00","Fill customer orders from stock and place orders when requested items are out of stock.","Revision",2428,"Fill customer orders from stock.",9,"07/2004","Incumbent"
"41-2022.00","Locate and label parts and maintain inventory of stock.","Revision",2431,"Take inventory of stock.",7,"07/2004","Incumbent"
"41-2022.00","Maintain and clean work and inventory areas.","New",,,5,"07/2004","Incumbent"
"41-2022.00","Research shipping methods and costs, track packages, and pick up and deliver parts.","New",,,8,"07/2004","Incumbent"
"41-3041.00","Record and maintain information on clients, vendors, and travel packages.","New",,,5,"03/2003","Incumbent"
"41-9012.00","Pose for artists and photographers either with or without clothes.","Revision",13214,"Pose for artists and photographers.",5,"06/2007","Incumbent"
"43-2011.00","Greet visitors, log them in and out of the facility, assign them security badges, and contact employee escorts.","New",,,19,"12/2004","Incumbent"
"43-2011.00","Monitor emergency and code alarms, make emergency announcements, and route emergency calls to the appropriate location.","Revision",4632,"Route emergency calls appropriately.",20,"12/2004","Incumbent"
"43-2011.00","Perform administrative tasks such as accepting orders, scheduling appointments and meeting rooms, and sending and receiving faxes.","Revision",4636,"Perform clerical duties, such as typing, proofreading, accepting orders, scheduling appointments, and sorting mail.",46,"12/2004","Incumbent"
"43-2011.00","Perform various cash handling tasks such as collecting payments, making bank deposits, and managing petty cash.","New",,,11,"12/2004","Incumbent"
"43-2011.00","Perform various data entry and word processing tasks such as updating phone directories, typing and proofreading documents, and creating schedules.","New",,,23,"12/2004","Incumbent"
"43-2011.00","Place orders, such as for equipment and supplies and catering for meetings.","New",,,16,"12/2004","Incumbent"
"43-2011.00","Process incoming and outgoing mail, packages, and deliveries.","New",,,32,"12/2004","Incumbent"
"43-3011.00","Answer customer questions regarding problems with their accounts.","New",,,18,"07/2004","Incumbent"
"43-3011.00","Contact insurance companies to check on status of claims payments and write appeal letters for denial on claims.","New",,,6,"07/2004","Incumbent"
"43-3031.00","Prepare and process payroll information.","New",,,8,"07/2004","Incumbent"
"43-3051.00","Conduct verifications of employment.","New",,,8,"07/2004","Incumbent"
"43-3051.00","Keep track of leave time (e.g., vacation, personal, and sick leave) for employees.","New",,,13,"07/2004","Incumbent"
"43-3051.00","Process paperwork for new employees and enter their information into the payroll system.","New",,,6,"07/2004","Incumbent"
"43-3061.00","Approve and pay bills.","Revision",2543,"Approve bills for payment.",5,"07/2004","Incumbent"
"43-3061.00","Train and supervise subordinates and other staff.","New",,,11,"07/2004","Incumbent"
"43-4011.00","Perform clerical tasks such as answering phones and distributing mail.","New",,,9,"12/2005","Incumbent"
"43-4031.01","Perform administrative tasks such as answering telephone calls, filing court documents, and maintaining office supplies and equipment.","New",,,19,"12/2004","Incumbent"
"43-4031.01","Prepare staff schedules and daily dockets and calendars of cases to be called, using typewriters or computers.","Revision",4678,"Prepare dockets or calendars of cases to be called, using typewriters or computers.",14,"12/2004","Incumbent"
"43-4031.02","Record and maintain all vital and fiscal records and accounts.","Revision",4707,"Maintain fiscal records and accounts.",9,"12/2004","Incumbent"
"43-4031.03","Verify the authenticity of documents, such as foreign ID and immigration documents.","New",,,8,"12/2005","Incumbent"
"43-4041.01","Call customers to collect payment on delinquent accounts.","New",,,8,"12/2005","Incumbent"
"43-4041.02","Call customers to collect past due payments.","New",,,6,"12/2005","Incumbent"
"43-4051.00","Confer with customers by telephone or in person to provide information about products and services, to take/enter orders or cancel accounts, or to obtain details of complaints.","Revision",2577,"Confer with customers by telephone or in person in order to provide information about products and services, to take orders or cancel accounts, or to obtain details of complaints.",6,"07/2004","Incumbent"
"43-4071.00","Complete general financial activities, such as processing accounts payable, reviewing invoices, collecting cash payments, and issuing receipts.","New",,,17,"07/2004","Incumbent"
"43-4071.00","Find, retrieve, and make copies of information from files in response to requests and deliver information to authorized users.","Revision",2598,"Find and retrieve information from files in response to requests from authorized users.",16,"07/2004","Incumbent"
"43-4071.00","Input data such as file numbers, new or updated information, and document information codes into computer systems to support document and information retrieval.","Revision",2606,"Enter document identification codes into systems in order to determine locations of documents to be retrieved.",9,"07/2004","Incumbent"
"43-4071.00","Keep records of materials filed or removed using logbooks or computers and generate computerized reports.","Revision",2592,"Keep records of materials filed or removed, using logbooks or computers.",8,"07/2004","Incumbent"
"43-4071.00","Perform general office activities, such as typing, answering telephones, operating office machines, processing mail, and securing confidential materials.","Revision",2594,"Perform general office duties such as typing, operating office machines, and sorting mail.",38,"07/2004","Incumbent"
"43-4081.00","Answer inquiries pertaining to hotel services, registration of guests, and travel directions, and make recommendations regarding shopping, dining, and entertainment.","Revision",2621,"Answer inquiries pertaining to hotel services, registration of guests, and shopping, dining, entertainment, and travel directions.",8,"07/2004","Incumbent"
"43-4081.00","Clean and maintain lobby and common areas, such as restock supplies and water plants.","New",,,10,"07/2004","Incumbent"
"43-4081.00","Perform bookkeeping activities, such as balancing accounts and conducting nightly audits.","Revision",2614,"Perform simple bookkeeping activities, such as balancing cash accounts.",11,"07/2004","Incumbent"
"43-4081.00","Prepare for basic food service, such as setting up continental breakfast and coffee and tea supplies.","New",,,6,"07/2004","Incumbent"
"43-4081.00","Schedule and supervise other employees.","New",,,5,"07/2004","Incumbent"
"43-4111.00","Supervise and provide job training to others, and maintain staff records.","New",,,7,"07/2004","Incumbent"
"43-4121.00","Acquire books, pamphlets, periodicals, audiovisual materials, and other library supplies by checking prices, figuring costs, and preparing appropriate order forms and facilitating the ordering process by providing such information to others.","Revision",2665,"Facilitate the acquisition of books, pamphlets, periodicals, and audiovisual materials by checking prices, figuring costs, and preparing appropriate order forms.",31,"07/2004","Incumbent"
"43-4121.00","Design or maintain library web site and online catalogues.","New",,,7,"07/2004","Incumbent"
"43-4121.00","Lend, reserve, and collect books, periodicals, videotapes, and other materials at circulation desks and process materials for inter-library loans.","Revision",2642,"Lend and collect books, periodicals, videotapes, and other materials at circulation desks.",23,"07/2004","Incumbent"
"43-4121.00","Maintain library equipment, such as photocopiers, scanners, and computers, and instruct patrons in proper use of such equipment.","New",,,16,"07/2004","Incumbent"
"43-4121.00","Manage reserve materials by placing items on reserve for library patrons, checking items in and out of library, and removing out dated items.","New",,,15,"07/2004","Incumbent"
"43-4121.00","Open and close library during specified hours and secure library equipment, such as computers and A/V equipment.","New",,,14,"07/2004","Incumbent"
"43-4121.00","Perform accounting and bookkeeping activities such as, invoicing, maintaining financial records, budgeting, and handling cash.","New",,,17,"07/2004","Incumbent"
"43-4121.00","Perform clerical activities, such as answering phones, sorting mail, filing, typing, word processing, and photocopying and mailing out material.","Revision",2651,"Perform clerical activities such as filing, typing, word processing, photocopying and mailing out material, and mail sorting.",15,"07/2004","Incumbent"
"43-4121.00","Prepare library statistics reports.","New",,,16,"07/2004","Incumbent"
"43-4121.00","Repair books using mending tape, paste, and brushes, or prepare books to be sent to a bindery for repair.","Revision",2663,"Repair books, using mending tape, paste, and brushes.",13,"07/2004","Incumbent"
"43-4121.00","Schedule, supervise, and train clerical workers, volunteers, student assistants, and other library employees.","Revision",2659,"Schedule and supervise clerical workers, volunteers, and student assistants.",32,"07/2004","Incumbent"
"43-4141.00","Process loan applications.","New",,,9,"12/2004","Incumbent"
"43-4161.00","Process, verify, and maintain personnel related documentation, including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.","Revision",2688,"Process, verify, and maintain documentation relating to personnel activities such as staffing, recruitment, training, grievances, performance evaluations, and classifications.",5,"07/2004","Incumbent"
"43-5011.00","Track delivery progress of shipment.","New",,,8,"12/2005","Incumbent"
"43-5021.00","Deliver and pick up medical records, lab specimens, and medications to and from hospitals and other medical facilities.","New",,,8,"07/2005","Incumbent"
"43-5041.00","Perform preventative maintenance or minor repairs on meters.","New",,,9,"12/2006","Incumbent"
"43-5051.00","Order retail items and other supplies for office use.","New",,,6,"12/2006","Incumbent"
"43-5052.00","Scan labels on letters or parcels to confirm receipt.","New",,,11,"12/2006","Incumbent"
"43-5081.02","Arrange merchandise on sales floor for sale.","New",,,12,"06/2006","Incumbent"
"43-6011.00","Answer phone calls and direct calls to appropriate parties or take messages.","New",,,35,"07/2004","Incumbent"
"43-6011.00","Coordinate and direct office services, such as records, departmental finances, budget preparation, personnel issues, and housekeeping, in order to aid executives.","Revision",2783,"Coordinate and direct office services, such as records and budget preparation, personnel, and housekeeping, in order to aid executives.",16,"07/2004","Incumbent"
"43-6011.00","Perform general office duties, such as ordering supplies, maintaining records management database systems, and performing basic bookkeeping work.","Revision",2777,"Perform general office duties such as ordering supplies, maintaining records management systems, and performing basic bookkeeping work.",8,"07/2004","Incumbent"
